# Phân loại từ vựng theo chủ đề. Mỗi dòng: <từ><TAB><topic_slug>
# - Khoá là CHÍNH TỪ ĐÓ (không phân biệt hoa thường), không phải cặp bài+vị trí:
#   một từ luôn có đúng một chủ đề dù xuất hiện ở nhiều bài.
# - topic_slug phải có trong topics.tsv.
# - Kiểm tra bằng: make check-vocab
word	topic_slug
...a more nuanced approach would suggest...	opinion-argument
...are inextricably linked	opinion-argument
...has been a source of considerable controversy	opinion-argument
...has far-reaching consequences for...	opinion-argument
...has transformative potential	opinion-argument
...however, this concern does not outweigh...	opinion-argument
...is a complex and multifaceted issue	opinion-argument
...is not without merit	opinion-argument
...is particularly prevalent in [context]...	opinion-argument
...nevertheless, upon closer examination...	opinion-argument
...plays a pivotal role in...	opinion-argument
...represents a significant departure from...	opinion-argument
...strikes a balance between [x] and [y]...	opinion-argument
...the long-term implications of this are...	opinion-argument
...the weight of evidence suggests...	opinion-argument
...this argument overlooks the fact that...	opinion-argument
...this is a false dichotomy	opinion-argument
...this view, while understandable, fails to account for...	opinion-argument
...yet the evidence suggests otherwise...	opinion-argument
a blessing in disguise	idioms-colloquial
a case in point is	linking-cohesion
a chip on your shoulder	idioms-colloquial
a compelling argument for this view is...	opinion-argument
a comprehensive strategy must include...	opinion-argument
a contributing factor is...	opinion-argument
a further reason to support this position is...	opinion-argument
a key benefit is...	opinion-argument
a major drawback is...	opinion-argument
a new [road/building] was introduced	maps-processes
a notable advantage is...	opinion-argument
a notable disadvantage is...	opinion-argument
a pertinent example is [country/org], which...	opinion-argument
a positive aspect of x is...	opinion-argument
a potential downside is...	opinion-argument
a primary reason for this development is...	opinion-argument
a prime illustration is	linking-cohesion
a quarter	charts-trends
a significant concern is...	opinion-argument
a step in the right direction	idioms-colloquial
a third	charts-trends
a viable approach would be to...	opinion-argument
above all	linking-cohesion
absorbs	maps-processes
accommodate	academic-awl
according to	linking-cohesion
accordingly	linking-cohesion
account for	phrasal-verbs
accumulates	maps-processes
accurate	academic-awl
achieve	academic-awl
acknowledge	reporting-verbs
acute shortage	collocations
add fuel to the fire	idioms-colloquial
add up	phrasal-verbs
added to this	linking-cohesion
adequate	academic-awl
adjacent	academic-awl
adjacent to	maps-processes
administer	academic-awl
admit	reporting-verbs
admittedly	linking-cohesion
admittedly, critics might argue that...	opinion-argument
adult	academic-awl
advise	reporting-verbs
advocate	academic-awl
advocates of x claim that...	opinion-argument
after being + v3	maps-processes
after that	maps-processes
against the clock	idioms-colloquial
agree	reporting-verbs
all the same	linking-cohesion
all things considered	linking-cohesion
allege	reporting-verbs
along the main road	maps-processes
alongside	maps-processes
also	linking-cohesion
alter	academic-awl
although / even though	linking-cohesion
although it cannot be denied	linking-cohesion
although some may contend that [x], ...	opinion-argument
among the most compelling advantages is...	opinion-argument
an alternative perspective suggests that...	opinion-argument
analysis	academic-awl
analyze	academic-awl
announce	reporting-verbs
annual	academic-awl
apart from this	linking-cohesion
apparent	academic-awl
apparently	linking-cohesion
appear to	linking-cohesion
approach	academic-awl
appropriate	academic-awl
approximate	academic-awl
approximately	charts-trends
arbitrary	academic-awl
area	academic-awl
arguably	linking-cohesion
argue	reporting-verbs
argue strongly	collocations
around	charts-trends
as a consequence	linking-cohesion
as a consequence of	linking-cohesion
as a matter of fact	linking-cohesion
as a result	linking-cohesion
as a rule	linking-cohesion
as busy as a bee	idioms-colloquial
as clear as mud	idioms-colloquial
as cool as a cucumber	idioms-colloquial
as evidenced by	linking-cohesion
as exemplified by	linking-cohesion
as good as gold	idioms-colloquial
as sharp as a tack	idioms-colloquial
as soon as	maps-processes
as well	linking-cohesion
as well as	linking-cohesion
aspect	academic-awl
assert	reporting-verbs
assess	academic-awl
assessment	academic-awl
assist	academic-awl
assume	reporting-verbs
assumption	academic-awl
at a crossroads	idioms-colloquial
at a price	idioms-colloquial
at the drop of a hat	idioms-colloquial
at the end of the day	idioms-colloquial
at the intersection of	maps-processes
at the same time	maps-processes
at this stage / at this point	maps-processes
attitude	academic-awl
attribute	academic-awl
available	academic-awl
back out	phrasal-verbs
back to square one	idioms-colloquial
be likely to	linking-cohesion
be that as it may	linking-cohesion
be up to no good	idioms-colloquial
beat around the bush	idioms-colloquial
before being + v3	maps-processes
beg	reporting-verbs
behind the times	idioms-colloquial
